("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9761319523166666e+14 9.5117836373675806e-05 1.5179220745069141e+01
1.9773810875583331e+14 9.1180924553539974e-05 1.5359563951803270e+01
1.9786302228000000e+14 8.7175414790939326e-05 1.5541400496080177e+01
1.9798793580416666e+14 8.3109740792831124e-05 1.5724860368580593e+01
1.9811284932833331e+14 7.8992270949834907e-05 1.5910102202482278e+01
1.9823776285250000e+14 7.4831340701362077e-05 1.6097322074319020e+01
1.9836267637666666e+14 7.0635330128538063e-05 1.6286765446482253e+01
1.9848758990083331e+14 6.6412801701025770e-05 1.6478743544139189e+01
1.9861250342500000e+14 6.2172720036309860e-05 1.6673656081402068e+01
1.9873741694916666e+14 5.7920134121352860e-05 1.6871874148783942e+01
1.9886233047333331e+14 5.3668798087738686e-05 1.7074234926571840e+01
1.9898724399750000e+14 4.9431889415755816e-05 1.7281665044256020e+01
1.9911215752166666e+14 4.5225782525467555e-05 1.7495422149348318e+01
1.9923707104583331e+14 4.1071818080213286e-05 1.7717237644489291e+01
1.9936198457000000e+14 3.6999089471791002e-05 1.7949525397522674e+01
1.9948689809416666e+14 3.3048898057107736e-05 1.8195677448541236e+01
1.9961181161833331e+14 2.9281894922506095e-05 1.8460444007824744e+01
1.9973672514250000e+14 2.5789204506257581e-05 1.8750282782387607e+01
1.9986163866666666e+14 2.2707966522406832e-05 1.9073194680455860e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(101, 3)
1.8737028625000000e+14 9.6895084852261104e-01 2.9925902511979277e+00
1.8749519977416666e+14 9.6918738727149945e-01 3.1098808623937080e+00
1.8762011329833334e+14 9.6942230576305832e-01 3.2271628417502858e+00
1.8774502682250000e+14 9.6965558366800719e-01 3.3444361673175633e+00
1.8786994034666666e+14 9.6988720140648099e-01 3.4617008139847885e+00
1.8799485387083334e+14 9.7011714050792663e-01 3.5789567538083702e+00
1.8811976739500000e+14 9.7034538391472636e-01 3.6962039563656774e+00
1.8824468091916666e+14 9.7057191622825700e-01 3.8134423891247993e+00
1.8836959444333334e+14 9.7079672389770100e-01 3.9306720178201662e+00
1.8849450796750000e+14 9.7101979535312510e-01 4.0478928068240032e+00
1.8861942149166666e+14 9.7124112108563321e-01 4.1651047195067754e+00
1.8874433501583334e+14 9.7146060406629398e-01 4.2823077429385776e+00
1.8886924854000000e+14 9.7167832922007713e-01 4.3995018143948217e+00
1.8899416206416666e+14 9.7189429326696897e-01 4.5166868961814721e+00
1.8911907558833334e+14 9.7210849485845197e-01 4.6338629507900357e+00
1.8924398911250000e+14 9.7232093446328416e-01 4.7510299411085297e+00
1.8936890263666666e+14 9.7253161423131351e-01 4.8681878305940414e+00
1.8949381616083334e+14 9.7274053784111225e-01 4.9853365834053234e+00
1.8961872968500000e+14 9.7294771033677374e-01 5.1024761644975740e+00
1.8974364320916666e+14 9.7315313795902425e-01 5.2196065396802922e+00
1.8986855673333334e+14 9.7335682797510492e-01 5.3367276756412565e+00
1.8999347025750000e+14 9.7355870694897562e-01 5.4538395599513576e+00
1.9011838378166666e+14 9.7375886594851158e-01 5.5709421403458972e+00
1.9024329730583334e+14 9.7395731432889732e-01 5.6880353860080453e+00
1.9036821083000000e+14 9.7415406184565356e-01 5.8051192668240787e+00
1.9049312435416666e+14 9.7434911852708006e-01 5.9221937532922313e+00
1.9061803787833334e+14 9.7454249456083430e-01 6.0392588164208272e+00
1.9074295140250000e+14 9.7473420019542723e-01 6.1563144276196642e+00
1.9086786492666666e+14 9.7492424565705260e-01 6.2733605585893422e+00
1.9099277845083334e+14 9.7511264108191831e-01 6.3903971812103588e+00
1.9111769197500000e+14 9.7529939646392738e-01 6.5074242674367797e+00
1.9124260549916666e+14 9.7548444716916849e-01 6.6244418054739915e+00
1.9136751902333334e+14 9.7566787771700580e-01 6.7414497503160318e+00
1.9149243254750000e+14 9.7584969746838546e-01 6.8584480735950581e+00
1.9161734607166666e+14 9.7602991557910368e-01 6.9754367466817833e+00
1.9174225959583334e+14 9.7620854102031951e-01 7.0924157406327355e+00
1.9186717312000000e+14 9.7638558261242758e-01 7.2093850261536341e+00
1.9199208664416666e+14 9.7656104907175612e-01 7.3263445735789254e+00
1.9211700016833334e+14 9.7673494906954861e-01 7.4432943528686080e+00
1.9224191369250000e+14 9.7690729130252663e-01 7.5602343336227609e+00
1.9236682721666666e+14 9.7707808457419243e-01 7.6771644851143961e+00
1.9249174074083334e+14 9.7724726877260837e-01 7.7940847896873979e+00
1.9261665426500000e+14 9.7741492243997141e-01 7.9109952024065358e+00
1.9274156778916666e+14 9.7758105522855854e-01 8.0278956919693343e+00
1.9286648131333334e+14 9.7774567730423645e-01 8.1447862270623794e+00
1.9299139483750000e+14 9.7790879945924591e-01 8.2616667764850309e+00
1.9311630836166666e+14 9.7807043322427756e-01 8.3785373092903228e+00
1.9324122188583331e+14 9.7823059097665199e-01 8.4953977949411517e+00
1.9336613541000000e+14 9.7838928604118525e-01 8.6122482034806378e+00
1.9349104893416666e+14 9.7854653277999171e-01 8.7290885057146621e+00
1.9361596245833331e+14 9.7870234666730560e-01 8.8459186734035047e+00
1.9374087598250000e+14 9.7885667870265147e-01 8.9627386908501663e+00
1.9386578950666666e+14 9.7900961221888827e-01 9.0795485207430708e+00
1.9399070303083331e+14 9.7916116623419469e-01 9.1963481389343826e+00
1.9411561655500000e+14 9.7931136095490823e-01 9.3131375230269455e+00
1.9424053007916666e+14 9.7946021772051317e-01 9.4299166525587665e+00
1.9436544360333331e+14 9.7960775891414908e-01 9.5466855091723239e+00
1.9449035712750000e+14 9.7975400783735611e-01 9.6634440767626053e+00
1.9461527065166666e+14 9.7989898854884805e-01 9.7801923415983225e+00
1.9474018417583331e+14 9.8004272566803297e-01 9.8969302924116977e+00
1.9486509770000000e+14 9.8018524414523345e-01 1.0013657920450697e+01
1.9499001122416666e+14 9.8032650552578338e-01 1.0130375229961123e+01
1.9511492474833331e+14 9.8046659780130030e-01 1.0247082206752175e+01
1.9523983827250000e+14 9.8060554524933186e-01 1.0363778849523502e+01
1.9536475179666666e+14 9.8074337131041855e-01 1.0480465159240755e+01
1.9548966532083331e+14 9.8088009826224665e-01 1.0597141138944670e+01
1.9561457884500000e+14 9.8101574689620408e-01 1.0713806793505572e+01
1.9573949236916666e+14 9.8115033620533576e-01 1.0830462129326847e+01
1.9586440589333331e+14 9.8128388309325298e-01 1.0947107153999067e+01
1.9598931941750000e+14 9.8141640211362902e-01 1.1063741875909329e+01
1.9611423294166666e+14 9.8154790524976465e-01 1.1180366303812290e+01
1.9623914646583331e+14 9.8167834002150856e-01 1.1296980456923960e+01
1.9636405999000000e+14 9.8180777429828914e-01 1.1413584332972730e+01
1.9648897351416666e+14 9.8193621158487010e-01 1.1530177938997806e+01
1.9661388703833331e+14 9.8206365250766359e-01 1.1646761280472063e+01
1.9673880056250000e+14 9.8219009491143960e-01 1.1763334360818455e+01
1.9686371408666666e+14 9.8231553403361738e-01 1.1879897180949961e+01
1.9698862761083331e+14 9.8243996275662659e-01 1.1996449738847128e+01
1.9711354113500000e+14 9.8256337193675947e-01 1.2112992029184401e+01
1.9723845465916666e+14 9.8268575080571319e-01 1.2229524043018538e+01
1.9736336818333331e+14 9.8280708743870837e-01 1.2346045767550292e+01
1.9748828170750000e+14 9.8292730988345578e-01 1.2462557197243461e+01
1.9761319523166666e+14 9.8304646494188130e-01 1.2579058300211814e+01
1.9773810875583331e+14 9.8316454061227887e-01 1.2695549051536684e+01
1.9786302228000000e+14 9.8328152608501951e-01 1.2812029422396783e+01
1.9798793580416666e+14 9.8339741238278333e-01 1.2928499380312086e+01
1.9811284932833331e+14 9.8351219299214276e-01 1.3044958889492404e+01
1.9823776285250000e+14 9.8362586447015188e-01 1.3161407911287540e+01
1.9836267637666666e+14 9.8373842700935443e-01 1.3277846404733328e+01
1.9848758990083331e+14 9.8384988494510117e-01 1.3394274327185080e+01
1.9861250342500000e+14 9.8396024718981367e-01 1.3510691635027065e+01
1.9873741694916666e+14 9.8406947191393868e-01 1.3627098296558515e+01
1.9886233047333331e+14 9.8417763418659165e-01 1.3743494256741590e+01
1.9898724399750000e+14 9.8428475838905405e-01 1.3859879473850324e+01
1.9911215752166666e+14 9.8439087423426674e-01 1.3976253908486770e+01
1.9923707104583331e+14 9.8449601666560083e-01 1.4092617524431555e+01
1.9936198457000000e+14 9.8460022563157878e-01 1.4208970289465583e+01
1.9948689809416666e+14 9.8470354573782937e-01 1.4325312176142001e+01
1.9961181161833331e+14 9.8480602578061116e-01 1.4441643162490459e+01
1.9973672514250000e+14 9.8490771816935385e-01 1.4557963232633506e+01
1.9986163866666666e+14 9.8500867824894311e-01 1.4674272377300042e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(101, 3)
1.8737028625000000e+14 2.4543670011994709e-01 -1.6092729945696103e+00
1.8749519977416666e+14 2.4454377360910196e-01 -1.4666494456074712e+00
1.8762011329833334e+14 2.4365462325866327e-01 -1.3240343943049386e+00
1.8774502682250000e+14 2.4276916812510249e-01 -1.1814278895411867e+00
1.8786994034666666e+14 2.4188732871805940e-01 -1.0388299998093677e+00
1.8799485387083334e+14 2.4100902734584836e-01 -8.9624081305200132e-01
1.8811976739500000e+14 2.4013418845901810e-01 -7.5366043640943481e-01
1.8824468091916666e+14 2.3926273899157410e-01 -6.1108899586815857e-01
1.8836959444333334e+14 2.3839460869854737e-01 -4.6852663579560017e-01
1.8849450796750000e+14 2.3752973048752951e-01 -3.2597351834851002e-01
1.8861942149166666e+14 2.3666804074082728e-01 -1.8342982274018305e-01
1.8874433501583334e+14 2.3580943772115986e-01 -4.0895742690904152e-02
1.8886924854000000e+14 2.3495390830594162e-01 1.0162851217142413e-01
1.8899416206416666e+14 2.3410140119263864e-01 2.4414271746669250e-01
1.8911907558833334e+14 2.3325186962996902e-01 3.8664663630557361e-01
1.8924398911250000e+14 2.3240527161491725e-01 5.2914002078217770e-01
1.8936890263666666e+14 2.3156157005023476e-01 6.7162261360081299e-01
1.8949381616083334e+14 2.3072073285778588e-01 8.1409414981840089e-01
1.8961872968500000e+14 2.2988273304396675e-01 9.5655435868136063e-01
1.8974364320916666e+14 2.2904754871446256e-01 1.0990029655292417e+00
1.8986855673333334e+14 2.2821516303685477e-01 1.2414396937352932e+00
1.8999347025750000e+14 2.2738552897172548e-01 1.3838642815800064e+00
1.9011838378166666e+14 2.2655867550506056e-01 1.5262764427717728e+00
1.9024329730583334e+14 2.2573460017020527e-01 1.6686759063209347e+00
1.9036821083000000e+14 2.2491330489747133e-01 1.8110624066479049e+00
1.9049312435416666e+14 2.2409479574937194e-01 1.9534356852042714e+00
1.9061803787833334e+14 2.2327908262446663e-01 2.0957954919478521e+00
1.9074295140250000e+14 2.2246617893699047e-01 2.2381415866516021e+00
1.9086786492666666e+14 2.2165610128000343e-01 2.3804737400331817e+00
1.9099277845083334e+14 2.2084886908007959e-01 2.5227917346954172e+00
1.9111769197500000e+14 2.2004450425143518e-01 2.6650953658786736e+00
1.9124260549916666e+14 2.1924300020483253e-01 2.8073844691884293e+00
1.9136751902333334e+14 2.1844441370475340e-01 2.9496588411431581e+00
1.9149243254750000e+14 2.1764877211977071e-01 3.0919183172083939e+00
1.9161734607166666e+14 2.1685610407701467e-01 3.2341627468318528e+00
1.9174225959583334e+14 2.1606643920947927e-01 3.3763919934832058e+00
1.9186717312000000e+14 2.1527980793187379e-01 3.5186059346225615e+00
1.9199208664416666e+14 2.1449624124542610e-01 3.6608044616270341e+00
1.9211700016833334e+14 2.1371577057047741e-01 3.8029874797059593e+00
1.9224191369250000e+14 2.1293842760432846e-01 3.9451549078332984e+00
1.9236682721666666e+14 2.1216424420049435e-01 4.0873066787230794e+00
1.9249174074083334e+14 2.1139322423940526e-01 4.2294427662295870e+00
1.9261665426500000e+14 2.1062542793010633e-01 4.3715631033118978e+00
1.9274156778916666e+14 2.0986088705767036e-01 4.5136676645896943e+00
1.9286648131333334e+14 2.0909963318182540e-01 4.6557564391837483e+00
1.9299139483750000e+14 2.0834169753421922e-01 4.7978294310917535e+00
1.9311630836166666e+14 2.0758711090196322e-01 4.9398866596352944e+00
1.9324122188583331e+14 2.0683590349238759e-01 5.0819281599595385e+00
1.9336613541000000e+14 2.0608810477485676e-01 5.2239539835612536e+00
1.9349104893416666e+14 2.0534374329670049e-01 5.3659641988167781e+00
1.9361596245833331e+14 2.0460284647169674e-01 5.5079588914757327e+00
1.9374087598250000e+14 2.0386541575153710e-01 5.6499381934873023e+00
1.9386578950666666e+14 2.0313150057166765e-01 5.7919022001209557e+00
1.9399070303083331e+14 2.0240112339162297e-01 5.9338510516921099e+00
1.9411561655500000e+14 2.0167430443163867e-01 6.0757849067634906e+00
1.9424053007916666e+14 2.0095106135481711e-01 6.2177039419253042e+00
1.9436544360333331e+14 2.0023140894288852e-01 6.3596083513467594e+00
1.9449035712750000e+14 1.9951535877287949e-01 6.5014983460784039e+00
1.9461527065166666e+14 1.9880291890260390e-01 6.6433741530929478e+00
1.9474018417583331e+14 1.9809409357309216e-01 6.7852360140604873e+00
1.9486509770000000e+14 1.9738888293609647e-01 6.9270841838599999e+00
1.9499001122416666e+14 1.9668726122828131e-01 7.0689189680007249e+00
1.9511492474833331e+14 1.9598924166020928e-01 7.2107406061724948e+00
1.9523983827250000e+14 1.9529481086480713e-01 7.3525493814965586e+00
1.9536475179666666e+14 1.9460395070375086e-01 7.4943455820263480e+00
1.9548966532083331e+14 1.9391663822055744e-01 7.6361294982631893e+00
1.9561457884500000e+14 1.9323284565086582e-01 7.7779014205731007e+00
1.9573949236916666e+14 1.9255254049100035e-01 7.9196616365500461e+00
1.9586440589333331e+14 1.9187568562449148e-01 8.0614104283695180e+00
1.9598931941750000e+14 1.9120223950481310e-01 8.2031480701769013e+00
1.9611423294166666e+14 1.9053215639127447e-01 8.3448748255546512e+00
1.9623914646583331e+14 1.8986536819932259e-01 8.4865909952976715e+00
1.9636405999000000e+14 1.8920184077571436e-01 8.6282967673914595e+00
1.9648897351416666e+14 1.8854151774009723e-01 8.7699923599924006e+00
1.9661388703833331e+14 1.8788433988988193e-01 8.9116779721202359e+00
1.9673880056250000e+14 1.8723024561913240e-01 9.0533537820298644e+00
1.9686371408666666e+14 1.8657917135478061e-01 9.1950199458298680e+00
1.9698862761083331e+14 1.8593105200320573e-01 9.3366765963585081e+00
1.9711354113500000e+14 1.8528582140053987e-01 9.4783238423182006e+00
